family,lead,target,tf,L,H,direction,thr_name,n,mean_net,t,p,q,ic_L1H1,robust
F2,AVAX-USD,XLM-USD,1h,3,3,cont,p80,873,-0.0030715,-3.9529,0.99996,1,-0.0094862,False
F2,AVAX-USD,XLM-USD,4h,3,3,rev,p80,213,-7.6085e-05,-0.02569,0.51024,1,0.0022364,False
F2,AVAX-USD,XRP-USD,1d,3,3,cont,0,109,0.0064194,0.90227,0.18446,1,0.0093421,False
F2,AVAX-USD,XRP-USD,1h,3,3,rev,p80,870,-0.0027133,-3.8357,0.99993,1,-0.029119,False
F2,AVAX-USD,XRP-USD,4h,3,3,cont,p80,211,0.00086299,0.29142,0.38674,1,-0.0089493,False
F2,BCH-USD,ADA-USD,1d,3,3,cont,p70,100,0.01648,1.9791,0.02529,1,-0.072587,True
F2,BCH-USD,ADA-USD,1h,3,3,rev,p80,860,-0.0030137,-3.7726,0.99991,1,-0.031858,False
F2,BCH-USD,ADA-USD,4h,3,3,rev,p80,214,-0.0015674,-0.52911,0.71035,1,-0.0083305,False
F2,BCH-USD,ATOM-USD,1d,1,1,rev,p80,141,0.018492,2.5906,0.0052981,1,-0.074527,True
F2,BCH-USD,ATOM-USD,1h,3,3,rev,p80,860,-0.0031363,-4.2147,0.99999,1,-0.027398,False
F2,BCH-USD,ATOM-USD,4h,3,3,cont,p80,225,-0.0030541,-1.3417,0.90948,1,0.013724,False
F2,BCH-USD,AVAX-USD,1d,2,2,cont,0,356,0.0028042,0.78116,0.21762,1,-0.049761,True
F2,BCH-USD,AVAX-USD,1h,3,3,rev,p80,860,-0.0032211,-4.5382,1,1,-0.021189,False
F2,BCH-USD,AVAX-USD,4h,3,3,rev,p80,214,-0.0020173,-0.75638,0.78503,1,-0.022024,False
F2,BCH-USD,BTC-USD,1d,3,3,cont,p70,110,0.0053156,0.98147,0.16427,1,-0.075767,True
F2,BCH-USD,BTC-USD,1h,1,1,cont,0,7918,-0.00403,-72.898,1,1,-0.015949,False
F2,BCH-USD,BTC-USD,4h,3,3,rev,p80,214,-0.0030051,-2.021,0.98476,1,0.0082215,False
